frame,inference_ms,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,33.659899956546724,14.931973402016489,14.635126105390963,168.7715385139693,176.4195335327063,161.41690937601544,173.42874852046617,179.18874572104318,179.87288245723212,382.49248361587524,109.27881801128387,0.9999690055847168,390.3987421989441,101.51143938302994,0.9999212026596069,374.5959801673889,101.03710663318634,0.9998984336853027,396.63164138793945,104.59768640995026,0.9997534155845642,368.71939611434937,103.09884506464005,0.9997296929359436,421.8352952003479,155.44605177640915,0.9999269247055054,345.87148094177246,157.9687179327011,0.999822199344635,429.90660762786865,219.3491735458374,0.9729892015457153,339.21961641311646,225.71094769239426,0.9672250151634216,446.3263187408447,268.630774974823,0.9594889879226685,330.75438356399536,278.04298293590546,0.9548342227935791,406.86642026901245,265.6753729581833,0.9998065829277039,363.45920515060425,268.6753634214401,0.9997571110725403,422.8256940841675,348.9437984228134,0.9930487871170044,366.922429561615,349.4268351793289,0.9953194260597229,439.61150074005127,430.27799701690674,0.992561399936676,369.9918599128723,424.90781009197235,0.9941296577453613
1,15.598399972077459,15.108419555712008,14.655528808870702,168.91335299456426,176.0830470327547,161.34636149120394,173.46443683120043,179.0391045126251,179.66603736831604,382.81960916519165,109.02296152710915,0.9999688863754272,390.63271379470825,101.3915847837925,0.9999210238456726,374.9420852661133,100.82938572764397,0.9998989701271057,396.8796138763428,104.60676792263985,0.9997531175613403,368.79091691970825,103.09386625885963,0.9997323155403137,421.8385806083679,156.1597375869751,0.9999263882637024,345.8705458641052,158.00718080997467,0.9998235106468201,429.88901805877686,219.36299169063568,0.9726112484931946,339.2282090187073,225.70795613527298,0.9676008224487305,446.3350124359131,268.95882058143616,0.9588046073913574,330.37352895736694,278.50544917583466,0.9548919796943665,406.831645488739,265.0131561756134,0.9998047351837158,363.4602918624878,268.4159241914749,0.9997560381889343,422.83984661102295,348.8983837366104,0.9929222464561462,367.0112113952637,349.2136653661728,0.9952539801597595,439.7782983779907,430.22628581523895,0.9923367500305176,369.89524364471436,424.8908294439316,0.9940422773361206
2,13.922000012826174,15.20253355821418,14.253270500561145,169.02595420363747,175.8020410400128,161.31257287020162,173.48284679862033,178.9660004719796,179.46802424929285,383.2183313369751,108.81118777394295,0.9999682307243347,390.8947629928589,101.22039648890495,0.9999196529388428,375.446900844574,100.6730839908123,0.9998978972434998,397.1244020462036,104.59067049622536,0.9997486472129822,368.99496603012085,103.08468502759933,0.9997304081916809,421.90105390548706,156.27360194921494,0.9999255537986755,346.0098977088928,157.9459536075592,0.9998245239257812,429.9008960723877,218.9905570745468,0.9720761179924011,339.935001373291,224.51908284425735,0.9678393602371216,446.324499130249,268.8167643547058,0.9580536484718323,331.0215377807617,278.2919659614563,0.9547535181045532,406.83376836776733,264.3941032886505,0.999802827835083,363.5080313682556,267.93542313575745,0.9997556209564209,422.8427023887634,348.68358993530273,0.9927128553390503,367.07858753204346,348.99283146858215,0.9951521158218384,439.86018085479736,430.2270835638046,0.9920658469200134,369.716037273407,424.88954734802246,0.9939314126968384
3,15.825400012545288,15.226220192004469,13.851349972826117,168.88619456591022,176.12120139369227,161.36926965344776,173.41595338790225,178.9082704455467,179.40312728049398,383.5756320953369,108.64570480585098,0.9999677538871765,391.17366886138916,101.00386473536491,0.9999183416366577,375.93496084213257,100.56900629401207,0.9998966455459595,397.37712574005127,104.49760457873344,0.9997445344924927,369.2090735435486,103.04115787148476,0.9997274875640869,421.9992117881775,156.28485590219498,0.9999241828918457,346.25122356414795,157.71514785289764,0.9998230934143066,429.9622573852539,218.51840388774872,0.9720032215118408,340.7241311073303,223.14147078990936,0.9681759476661682,446.5592288970947,268.394983291626,0.958142876625061,332.3732051849365,277.66681599617004,0.95506352186203,406.95022344589233,264.2580301761627,0.9998005628585815,363.7397789955139,267.8526567220688,0.9997538328170776,422.8654475212097,348.5181995630264,0.9925997853279114,367.19521951675415,348.99280297756195,0.9950827360153198,439.9177007675171,430.22924888134,0.9918792247772217,369.6355195045471,424.8868407011032,0.9938358068466187
4,15.17149998107925,15.036072359050625,13.451549971462676,167.7486516333626,175.92529577826141,161.58585174282715,173.15242498380272,178.72428088062384,179.55083650278092,384.1298804283142,108.54855042695999,0.9999667406082153,391.6039056777954,100.85368144512177,0.9999157786369324,376.58809995651245,100.5212909579277,0.9998937845230103,397.7332639694214,104.41975998878479,0.9997358918190002,369.50074195861816,103.01425522565842,0.9997209310531616,422.2015423774719,156.28898710012436,0.9999221563339233,346.5913896560669,157.48186337947845,0.9998201727867126,429.98505306243896,218.44129294157028,0.9715379476547241,341.5847816467285,222.47156143188477,0.9682866930961609,447.4635753631592,268.1032922267914,0.9576600193977356,333.3994402885437,277.3727316856384,0.9549369812011719,407.24199295043945,264.12540447711945,0.999795138835907,364.1299843788147,267.63925898075104,0.9997479319572449,422.90269899368286,348.4896515607834,0.9924973249435425,367.2520823478699,348.95476746559143,0.9950017929077148,439.9723901748657,430.2550617456436,0.9917243719100952,369.5675368309021,424.75666522979736,0.9937140941619873
5,16.098499996587634,14.826529352124396,13.257655207911968,166.77545973336302,175.81963715601097,162.21371422908533,172.74935882680475,178.23061267630516,179.72610480846507,384.3964786529541,108.5286850631237,0.9999657869338989,391.92165517807007,100.84708577394485,0.9999133944511414,376.917272567749,100.51885497570038,0.9998911023139954,398.21907472610474,104.44462552666664,0.999727725982666,369.695415019989,103.02199766039848,0.9997150301933289,422.5855813026428,156.32696563005447,0.9999203681945801,346.9381012916565,157.43097841739655,0.9998183250427246,430.31500911712646,218.46468406915665,0.9710062742233276,342.2701177597046,222.5085855126381,0.9684571623802185,448.6607275009155,268.0190727710724,0.957054615020752,334.28255796432495,277.3743841648102,0.9548224210739136,407.9449439048767,264.10392224788666,0.9997881054878235,364.69226932525635,267.5980894565582,0.9997408986091614,422.9005002975464,348.4864320755005,0.9924193024635315,367.3973731994629,348.96055114269257,0.9949456453323364,440.0331449508667,430.3540680408478,0.991585910320282,369.554723739624,424.75643730163574,0.9936236143112183
6,14.597700035665184,14.739280607541431,13.081010555957052,165.86357513970637,175.93142604506755,162.5850404591997,172.6630301277595,177.6346126438442,179.81940672833386,384.9129447937012,108.55974027514458,0.999965250492096,392.4592237472534,100.86351084709167,0.999911904335022,377.43199491500854,100.56691220402718,0.9998892545700073,398.84476804733276,104.49064564704895,0.9997230768203735,369.95832347869873,103.08286872506142,0.9997116923332214,423.1070513725281,156.43384969234467,0.999919056892395,347.4594449996948,157.37570583820343,0.9998173117637634,430.70420360565186,218.76807069778442,0.9707746505737305,342.8843626976013,222.51029497385025,0.9686879515647888,449.7049312591553,268.047421336174,0.9567601084709167,335.08846855163574,277.3800823688507,0.9550778865814209,408.3753070831299,264.11135840415955,0.9997830986976624,365.0415081977844,267.59834587574005,0.9997361302375793,422.6832842826843,348.48589074611664,0.9924760460853577,367.4945454597473,348.9965068101883,0.9949707388877869,440.105019569397,430.51999974250793,0.9915874004364014,370.0167531967163,424.7580612897873,0.9936356544494629
7,16.063300019595772,14.929379459486487,13.029083818364747,165.67164035949,176.0923436238381,162.45895196846033,172.91563493188727,177.4972750941824,179.840664311733,384.934148311615,108.69688892364502,0.9999645948410034,392.5237441062927,100.93607035279274,0.9999100565910339,377.47973442077637,100.72195321321487,0.9998868703842163,399.08467864990234,104.54821175336838,0.9997172951698303,370.16098260879517,103.27486971020699,0.9997067451477051,423.686824798584,156.44256794452667,0.9999176859855652,348.08862590789795,157.37285673618317,0.9998162984848022,431.22708892822266,218.84055185317993,0.9706855416297913,343.2546281814575,222.5680890083313,0.968864917755127,450.34315967559814,268.07716596126556,0.9566534757614136,335.4070773124695,277.37743270397186,0.9553369879722595,408.4818048477173,264.0990217924118,0.9997769594192505,365.1254630088806,267.5696269273758,0.9997299909591675,422.5916213989258,348.3981953859329,0.9925325512886047,367.54870414733887,349.0159091949463,0.9950169920921326,440.05664825439453,430.5316240787506,0.9916406273841858,370.012659072876,424.7454112768173,0.9936812520027161
8,13.282199972309172,15.034331803195117,12.826051426302548,165.67740184964083,175.80529652002878,162.36238686764688,173.25447724155654,177.3772285272236,179.84816607603884,384.9107460975647,108.80946406722069,0.999963641166687,392.51376152038574,101.02117303013802,0.9999076724052429,377.4522886276245,100.88820543885231,0.9998833537101746,399.1884722709656,104.65560865402222,0.999710738658905,370.33455324172974,103.49033305048943,0.9996979236602783,424.0643434524536,156.50590348243713,0.9999164342880249,348.78717947006226,157.35876792669296,0.9998143315315247,431.51241397857666,218.87751895189285,0.9707448482513428,343.7967710494995,222.42963689565659,0.9688164591789246,450.54518699645996,268.1194466352463,0.956737220287323,335.55855989456177,277.0296143293381,0.9554091095924377,408.5121569633484,264.10286808013916,0.999772310256958,365.139413356781,267.5566350221634,0.9997246265411377,422.4826469421387,348.3732942342758,0.9925957918167114,367.5499677658081,349.0168209075928,0.9950693845748901,440.00120067596436,430.53948760032654,0.9916895627975464,369.99148082733154,424.73592376708984,0.9937322735786438
9,12.985700042918324,15.027998820214034,12.706797311209856,165.6967913572568,175.587244477276,162.29690291207316,173.498421356669,177.3290358785823,179.8586272778142,384.89856481552124,108.86829090118408,0.9999622106552124,392.5198268890381,101.07278451323509,0.9999043345451355,377.4461979866028,100.99020329117775,0.9998786449432373,399.26583099365234,104.7430191040039,0.9996996521949768,370.53147554397583,103.71168690919876,0.9996859431266785,424.3080196380615,156.51232820749283,0.9999144077301025,349.29876804351807,157.3581411242485,0.9998112320899963,431.6156768798828,218.86429911851883,0.9703727960586548,344.16728925704956,222.37194257974625,0.9687060713768005,450.4854431152344,268.05306255817413,0.9562565088272095,335.6604075431824,276.53677666187286,0.9551160931587219,408.53497791290283,264.06192648410797,0.9997656345367432,365.14896631240845,267.4345794916153,0.999717116355896,422.39224767684937,348.1340836286545,0.9925658106803894,367.55042266845703,348.7177791595459,0.9950874447822571,439.95429515838623,430.5403138399124,0.9916847348213196,369.59915256500244,424.3867093324661,0.9937474727630615
