frame,inference_ms,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,19.687799969688058,26.868439839796448,14.297319456716462,178.87665476196253,165.36391994532755,151.34803108167907,175.2219559910204,177.56962892666778,163.2070950296886,383.60312843322754,162.60386502742767,0.5645477175712585,391.04048347473145,159.12204867601395,0.4241929352283478,374.5955505371094,157.54850387573242,0.567726731300354,404.23938274383545,163.20758974552155,0.559885561466217,367.2893590927124,162.6593797802925,0.6518795490264893,421.2470808029175,187.74337255954742,0.5704670548439026,345.08315992355347,185.3476481437683,0.6434201598167419,430.62970066070557,221.4552582502365,0.4477597773075104,344.3198585510254,214.97641450166702,0.35792067646980286,439.4920129776001,255.89808106422424,0.586814820766449,332.67675161361694,255.28370070457458,0.46974486112594604,408.6426634788513,250.73302948474884,0.7435317635536194,360.04316425323486,251.07973670959473,0.7532466650009155,424.4090585708618,301.24017214775085,0.5752881169319153,375.8294234275818,300.8454575538635,0.4687100052833557,438.62532234191895,340.7994123697281,0.6974274516105652,376.40431928634644,341.6736023426056,0.6856908202171326
1,16.772300004959106,27.06877099060768,14.35467161425302,178.38973629231876,165.74195192286828,150.99940278598024,174.69490185927654,176.7281313918879,163.1471319425218,383.80717754364014,162.50334870815277,0.5574931502342224,391.1946954727173,159.0610209107399,0.4244720935821533,374.70409536361694,157.47996872663498,0.5711963176727295,404.3441114425659,163.2934046983719,0.558638870716095,367.2526636123657,162.73254472017288,0.6561408638954163,421.25208473205566,188.02767020463943,0.5797895789146423,345.08267974853516,185.601389169693,0.6420267820358276,430.6704902648926,221.98184353113174,0.4379289746284485,344.16981649398804,215.35698330402374,0.3566245436668396,439.1275854110718,256.1733043193817,0.5853602886199951,332.66398906707764,255.44228172302246,0.4700930118560791,408.3563528060913,251.04332518577576,0.746536135673523,359.76582527160645,251.30367612838745,0.7547626495361328,424.1657361984253,301.3830831050873,0.578567624092102,375.8184804916382,300.99606108665466,0.4694353938102722,439.11863899230957,340.9402719736099,0.6957324147224426,376.5654811859131,341.7653434276581,0.6831513047218323
2,16.86360000167042,26.510129720853158,14.547852195689238,177.87346793186046,169.37633473630913,151.26611197324343,172.77809141409853,177.47607254319485,160.97832507153842,384.01137828826904,163.15884160995483,0.559219241142273,391.3549475669861,159.44962418079376,0.42720210552215576,374.62016582489014,158.01453149318695,0.5463370680809021,404.8836259841919,163.14829993247986,0.5336611866950989,367.34516048431396,162.74620616436005,0.642365038394928,422.157998085022,187.99138689041138,0.5651913285255432,346.7542700767517,185.4610424041748,0.667020320892334,431.08556365966797,221.67369890213013,0.4151598811149597,344.9776225090027,215.52317142486572,0.3569190800189972,441.6787805557251,256.38419485092163,0.6241119503974915,334.73728370666504,256.5770220756531,0.4447558522224426,409.21859550476074,250.6655342578888,0.7438355684280396,359.76744270324707,251.38977599143982,0.7520549893379211,424.9985113143921,302.0586051940918,0.5738157033920288,376.3982791900635,301.4201784133911,0.46203067898750305,438.8182010650635,340.88445806503296,0.7038824558258057,375.95174169540405,341.7656853199005,0.6878460049629211
3,17.03839999390766,26.06681447078873,13.892945746024477,172.90457377613407,169.4385798965393,152.450473035186,174.7215186538905,178.56579415673514,174.407979203271,383.06513023376465,163.49529206752777,0.5666711926460266,391.28850650787354,159.71191251277924,0.43188339471817017,374.31078147888184,158.38502871990204,0.515119194984436,404.46218395233154,163.60515344142914,0.5580323934555054,366.98866844177246,163.00662833452225,0.6513119339942932,421.9296622276306,188.19233405590057,0.5753677487373352,346.9726233482361,185.97259867191315,0.6595942378044128,431.0181875228882,220.6512986421585,0.427970826625824,345.9593782424927,215.38937759399414,0.36190611124038696,445.1133966445923,254.28480553627014,0.577617347240448,336.8200807571411,256.49807345867157,0.4567577838897705,410.28577184677124,251.48220086097717,0.7680878043174744,360.93419218063354,252.10940217971802,0.7722610831260681,425.3821964263916,300.4778664112091,0.5642129182815552,366.48372650146484,299.76863944530487,0.5454856753349304,439.2087097167969,341.6595277786255,0.7106109261512756,375.7396306991577,342.4571623802185,0.6910442113876343
4,17.065799969714135,23.69337750169307,13.37260586667701,167.92028121962875,170.45157117039673,155.03818601493668,173.58936426484266,177.9047031690722,174.9711463030954,383.6813716888428,162.37573742866516,0.5400986671447754,391.3182773590088,158.0551169514656,0.5438432693481445,374.48425102233887,157.62023001909256,0.5679565072059631,404.67831325531006,162.75677633285522,0.5258899927139282,367.63746070861816,162.22738468647003,0.6111575961112976,422.66450691223145,187.66468036174774,0.5440707802772522,349.0835990905762,185.22603422403336,0.6656191349029541,430.7316999435425,219.4615278840065,0.4421207904815674,348.1073274612427,214.38682132959366,0.33727461099624634,447.42445373535156,253.21320128440857,0.594444990158081,339.55093717575073,256.57126688957214,0.452048122882843,412.0436420440674,251.42487692832947,0.7726289629936218,362.6044683456421,251.95070719718933,0.7707043290138245,425.80515480041504,301.0318458080292,0.5561496615409851,366.8393340110779,299.92639422416687,0.5581753849983215,438.94001388549805,342.4384437799454,0.7151728272438049,374.562949180603,343.4036910533905,0.6952344179153442
5,17.0532000483945,27.4027865858473,14.73018450819641,172.18816341460771,175.36051711519403,155.8829833104018,175.01202667112048,179.3268144140534,161.2171280718395,384.38877058029175,161.91953921318054,0.550514817237854,392.28014373779297,157.89107990264893,0.5642951726913452,375.14072608947754,157.32080364227295,0.5713917016983032,403.6375970840454,162.50223755836487,0.3853928744792938,367.7155017852783,161.36783909797668,0.6050471067428589,421.6981420516968,189.07591181993484,0.5350496172904968,350.7544059753418,184.34211456775665,0.6486154198646545,431.51044273376465,218.66013246774673,0.4670313000679016,348.2897434234619,213.8187816143036,0.3550802171230316,447.82921600341797,251.8811036348343,0.5739138126373291,341.14443588256836,256.89099311828613,0.3915017247200012,411.93039655685425,250.37669229507446,0.7558750510215759,362.4662790298462,251.10016477108002,0.7655308246612549,425.34165954589844,300.20708775520325,0.5648054480552673,375.3439664840698,299.36737191677094,0.5181064009666443,437.4907445907593,343.3227195739746,0.7203571796417236,372.38479948043823,343.4045457839966,0.6845642328262329
6,15.612800023518503,26.94723072554484,25.445777934727605,179.98482272192766,166.0144050914776,151.76073146245002,174.73191390439746,177.89847002312197,176.53166405628582,384.95792961120605,161.95115000009537,0.5602473020553589,392.441987991333,158.22291481494904,0.5521759986877441,375.82949924468994,157.69546055793762,0.5585103034973145,403.74184560775757,162.30248701572418,0.3714524209499359,369.02779483795166,161.38799649477005,0.5815463662147522,423.8832416534424,187.26069194078445,0.4994782507419586,353.2704725265503,184.5456544160843,0.576379656791687,432.38471508026123,217.32492929697037,0.47753867506980896,344.62300062179565,213.3347619175911,0.41107964515686035,442.38706398010254,252.7326147556305,0.6485055685043335,342.674222946167,254.15494346618652,0.3972632884979248,411.4855270385742,250.11810779571533,0.7297959327697754,363.4272861480713,250.71274387836456,0.7297762036323547,426.79436588287354,299.93682193756104,0.5000749230384827,366.34007835388184,298.9045922756195,0.5041976571083069,438.29718589782715,342.92538380622864,0.6832559704780579,371.6956977844238,342.9857277870178,0.6425213813781738
7,16.070200013928115,27.276577680605136,26.893298666004277,178.95116438273752,168.42755890100875,151.40184442021598,174.76953048323088,178.0571678592358,162.51574204999824,383.6534457206726,162.0335602760315,0.538456380367279,391.4445128440857,158.261292219162,0.5299915075302124,374.87726163864136,157.82661896944046,0.5230438709259033,403.4821720123291,162.5264834165573,0.3786393404006958,368.2457666397095,161.50462448596954,0.5835750699043274,423.6492700576782,187.42348963022232,0.49989598989486694,353.33822774887085,184.44134879112244,0.5570562481880188,432.22807693481445,217.243046104908,0.4882846176624298,343.7396807670593,212.89976102113724,0.4009934663772583,441.917857170105,253.4027805328369,0.6487711668014526,338.6842212677002,253.68501257896423,0.390617698431015,411.14210081100464,250.43606758117676,0.7314502000808716,362.9548444747925,250.726020693779,0.7224808931350708,426.6587543487549,300.0358852148056,0.49897652864456177,374.44631719589233,298.6453239917755,0.47845229506492615,438.29769134521484,342.20803689956665,0.6811380386352539,371.35295391082764,342.8948984146118,0.6407152414321899
8,15.648200002033263,26.12780395865643,21.842996674529292,179.34234818532542,174.056590454156,158.16701430043352,171.83653793814125,172.07373033717647,174.23790689823701,383.3158826828003,162.69309890270233,0.5719621777534485,391.3333396911621,159.27899146080017,0.41618812084198,374.4726257324219,158.52103060483932,0.4629829227924347,403.20604610443115,163.1788992881775,0.39037761092185974,368.3287863731384,162.32728844881058,0.6248604655265808,423.23434829711914,187.87981605529785,0.523047149181366,352.31153774261475,185.64398324489594,0.5599478483200073,432.0015354156494,217.8374257683754,0.47731101512908936,346.4165554046631,213.65551382303238,0.3555101752281189,442.1767473220825,254.1472508907318,0.629210352897644,333.0912437438965,255.08993327617645,0.4462752044200897,412.2682375907898,251.26441550254822,0.7463604211807251,363.87905502319336,251.52488040924072,0.7306985259056091,422.76584911346436,300.57789838314056,0.5153707265853882,365.37624073028564,299.2948907613754,0.48351094126701355,437.9608106613159,342.4536294937134,0.6756336092948914,371.1591148376465,342.8836159706116,0.6346820592880249
9,15.279499988537282,25.806007302983485,19.63522445093033,179.09419466872677,169.25865686842525,158.99529628175915,170.94412124445964,170.05970124763044,172.96380151409255,382.7342138290405,164.14098405838013,0.5882802605628967,391.3171401023865,160.57772612571716,0.47574493288993835,374.94430923461914,160.43960165977478,0.35879024863243103,403.27127408981323,164.1493604183197,0.41751542687416077,368.45380878448486,163.36728191375732,0.6528883576393127,422.9023451805115,187.91575747728348,0.54344242811203,351.33877897262573,186.44275748729706,0.5772799253463745,431.8935213088989,218.7452493906021,0.49588072299957275,346.8481822013855,214.33723270893097,0.3681461811065674,441.73594665527344,254.59253704547882,0.6177480816841125,332.0111026763916,255.3540735244751,0.44042614102363586,412.27033519744873,251.13084959983826,0.74080890417099,363.4037322998047,251.6034016609192,0.7313686013221741,422.1958055496216,300.1015570163727,0.5220957398414612,364.5956530570984,299.2155717611313,0.478511244058609,438.6301746368408,342.04164934158325,0.6830862164497375,371.0776114463806,342.74201560020447,0.6479081511497498
