frame,inference_ms,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,13.453499996103346,60.60047209090741,57.12506631291642,178.97166859027467,159.81893327417023,121.118828154127,125.9082045954243,109.27677883755076,113.30305194214229,360.2521162033081,186.0854088664055,0.9807396531105042,363.68215799331665,182.59256649017334,0.9812088012695312,364.31356287002563,181.59293055534363,0.9735210537910461,359.4674596786499,181.99637764692307,0.9773567318916321,360.599636554718,181.49583315849304,0.9673669338226318,332.013756275177,186.2207269668579,0.9990435242652893,338.87639236450195,194.03582805395126,0.9980947375297546,372.45922660827637,206.38848024606705,0.78947514295578,370.0501127243042,217.85634380578995,0.8431904315948486,420.3545618057251,229.2070950269699,0.7428577542304993,406.7754397392273,229.22695326805115,0.7724788784980774,335.6180510520935,257.44876182079315,0.9997124075889587,333.6119809150696,260.7880518436432,0.9996311664581299,284.95324325561523,291.64274406433105,0.9545839428901672,294.93052196502686,284.3983038663864,0.8850350975990295,300.69391107559204,351.47719144821167,0.9221306443214417,303.1364097595215,342.08578193187714,0.8850291967391968
1,13.078599993605167,76.45889616027821,83.11682891170263,176.60440794120922,167.22642039941613,162.11780846368083,164.65267117819758,154.70243508594473,154.1271511517731,354.8337707519531,198.6534104347229,0.9822664856910706,359.7899351119995,193.10541105270386,0.9823330044746399,360.16045331954956,192.35978680849075,0.9755666851997375,355.289204120636,189.00777554512024,0.9782276749610901,355.17648935317993,188.49901139736176,0.9695232510566711,323.83862495422363,189.97296583652496,0.9991196393966675,319.9187035560608,201.21495258808136,0.9982234835624695,367.18723344802856,211.77098953723907,0.785942792892456,373.713014125824,224.8675280213356,0.8531357645988464,415.8206481933594,232.71597784757614,0.7342319488525391,415.67700004577637,232.99471974372864,0.7863817811012268,306.1156430244446,265.8054059743881,0.9997100234031677,299.2240195274353,269.5382424592972,0.9996083974838257,280.2816963195801,308.7378120422363,0.9339206218719482,282.3177900314331,296.38638496398926,0.8803636431694031,273.7142415046692,374.0823087692261,0.9079328775405884,275.0623960494995,361.8357286453247,0.879252552986145
2,13.544999994337559,87.51839345528903,88.69983543967336,178.4016608944465,162.58279166551583,159.3006859327842,176.236030361107,169.67072886303978,153.18185451231034,353.98686838150024,205.29617726802826,0.9838517308235168,359.1615629196167,198.56215369701385,0.9836949706077576,359.76928758621216,199.43205577135086,0.9777436256408691,354.41189908981323,192.77034240961075,0.9797263741493225,354.10678577423096,193.93209224939346,0.972193717956543,321.23941230773926,191.05025404691696,0.9991816282272339,319.92542600631714,198.82734811306,0.9983748197555542,363.137083530426,211.05218958854675,0.7703099250793457,371.16116189956665,226.44461995363235,0.866400420665741,411.06906366348267,232.31419748067856,0.7191489934921265,414.10207653045654,234.72034960985184,0.8048689365386963,289.62451219558716,265.3924856185913,0.9996824264526367,285.60878324508667,266.1033650636673,0.9995896220207214,287.62402725219727,314.3714554309845,0.8955544829368591,268.93134450912476,304.8995302915573,0.8865005373954773,272.2894358634949,382.5932317972183,0.8866035342216492,273.6548261642456,380.8964490890503,0.8824566602706909
3,12.61740003246814,95.73492017489127,95.82405097711757,175.59881737067872,166.47749593608916,152.90280103421907,149.6990822431198,173.77891743622897,173.48551325136643,353.1281132698059,202.65833616256714,0.9850547909736633,357.93772315979004,197.59911447763443,0.984368622303009,358.0527377128601,198.57929104566574,0.979282557964325,352.3641548156738,193.2161983847618,0.9800171256065369,352.74996280670166,195.02779990434647,0.9740943312644958,318.8437433242798,193.86052280664444,0.9992156624794006,315.0961036682129,199.0531394481659,0.9985130429267883,365.4779872894287,216.66051870584488,0.7544836401939392,369.87072944641113,226.56862711906433,0.87834632396698,411.54140424728394,234.9479358792305,0.7072740197181702,412.62250566482544,236.55638217926025,0.8216519951820374,272.6518921852112,268.3910230398178,0.999626100063324,268.83134174346924,271.6847274303436,0.9995703101158142,268.46355295181274,319.41940891742706,0.8388491272926331,266.8876943588257,322.3867201805115,0.8890620470046997,270.2359547615051,385.8271905183792,0.8456327319145203,272.11846828460693,391.64428758621216,0.8820034265518188
4,17.235999985132366,102.36678560010915,100.56505003346572,172.44971930814458,161.85835319941557,142.57636724719,141.0535589706307,176.97550407452937,176.0746763998014,352.01726627349854,212.0220239162445,0.9858185052871704,357.4140543937683,206.68226540088654,0.9845161437988281,357.3201675415039,208.09003520011902,0.9803723692893982,352.264000415802,197.90657532215118,0.9796825051307678,351.5836682319641,200.08256274461746,0.9756021499633789,321.5556960105896,198.0211946964264,0.9992315769195557,314.3318166732788,203.48866420984268,0.9986340999603271,366.9655694961548,219.10859537124634,0.7309163808822632,369.98897886276245,230.73224782943726,0.8893345594406128,413.6273603439331,233.69475835561752,0.6964655518531799,417.5622682571411,237.36710840463638,0.8375650644302368,266.8904995918274,269.8420137166977,0.9996140003204346,261.1234712600708,275.01293444633484,0.999576210975647,267.02828454971313,323.30153834819794,0.781363308429718,263.37897968292236,331.16679787635803,0.8914656043052673,270.59027338027954,387.57252192497253,0.8026930093765259,270.61779499053955,397.52654361724854,0.879731297492981
5,13.025200052652508,106.45646065146028,111.10283347258367,170.9739108316728,165.61027649692033,128.48794900871542,117.71582190165644,171.7374558590422,169.28220999283363,354.1841697692871,213.58365947008133,0.987046480178833,359.9815754890442,208.8072111606598,0.9857090711593628,359.83734607696533,208.94285690784454,0.9820808172225952,353.79591035842896,199.9156196117401,0.9811264276504517,353.5039892196655,200.7463180422783,0.9777712821960449,321.0250015258789,198.85380202531815,0.9992677569389343,317.79734086990356,203.2565336227417,0.9987550973892212,367.57344579696655,220.99626791477203,0.7065974473953247,370.81445026397705,228.0798620581627,0.8996925354003906,414.8718476295471,234.92924576997757,0.6830317974090576,421.61042165756226,237.67777448892593,0.8523175716400146,257.9234585762024,269.19085144996643,0.9996191263198853,244.63284587860107,273.437238574028,0.9995937347412109,267.1945261955261,323.9129841327667,0.7303071022033691,262.09302043914795,333.96227979660034,0.8954156041145325,268.7112979888916,388.12048971652985,0.7690636515617371,268.2721652984619,399.64986538887024,0.8829653263092041
6,14.354099985212088,104.26570018914022,111.95390426468751,167.15069096104165,160.57029308401894,124.46304997446283,113.5159737754604,170.38735785148205,170.58106627246093,357.0061078071594,216.71076261997223,0.9882411956787109,361.785795211792,211.99745041131973,0.986956775188446,361.6963310241699,212.7557958960533,0.9837480187416077,356.1747479438782,202.1955137848854,0.9827333688735962,355.62221813201904,204.30164122581482,0.9798709750175476,324.89581871032715,196.0059678554535,0.9993004202842712,323.55792474746704,203.54235553741455,0.9988653659820557,367.6612672805786,221.08574396371841,0.6838330030441284,372.39506006240845,230.84020030498505,0.9090242385864258,413.94195079803467,235.71366053819656,0.6736351847648621,422.40751218795776,239.45511555671692,0.8656582832336426,254.05011415481567,267.70960330963135,0.999618649482727,241.80790042877197,269.37165546417236,0.999603807926178,264.87401723861694,324.01375687122345,0.6872255206108093,259.9803514480591,335.67698335647583,0.90049809217453,266.3062024116516,388.65982472896576,0.7456813454627991,266.6356530189514,399.99241292476654,0.8885555267333984
7,13.267999980598688,111.92825287694001,114.14936752399245,165.52536376226274,161.19475663626025,118.79941806267765,112.43778010028426,176.0484241857126,173.6900413260667,357.68674325942993,219.889306306839,0.9893711805343628,362.01678466796875,215.01795440912247,0.9881885051727295,362.7221870422363,215.86624604463577,0.9853190779685974,356.27300691604614,205.0426784157753,0.9843549132347107,356.64458656311035,206.00798267126083,0.9818317294120789,323.7915425300598,201.07571697235107,0.999333918094635,326.27007961273193,203.30103659629822,0.9989686608314514,367.7031183242798,225.32399690151215,0.6633866429328918,374.2720136642456,230.16372376680374,0.9172846674919128,412.988853931427,236.9793313741684,0.6624347567558289,422.91996002197266,239.11587297916412,0.8772622346878052,249.18662357330322,261.8439005613327,0.9996235370635986,240.73855066299438,266.8652719259262,0.9996210336685181,260.9937734603882,326.4009909629822,0.6363349556922913,258.4187970161438,336.8357986211777,0.904184877872467,268.1558871269226,390.1224967241287,0.7078705430030823,267.3254117965698,401.2635967731476,0.8936507701873779
8,13.25150002958253,116.95756546026918,116.74788654721182,163.57354987896736,159.1200648744012,115.41617506211709,109.22282635142687,178.18444367989235,173.687024682522,359.02559757232666,221.40391743183136,0.9903697371482849,362.85982036590576,216.76704663038254,0.989270806312561,363.64978408813477,217.38112783432007,0.9867070913314819,356.84052324295044,207.11169630289078,0.9857914447784424,357.2015643119812,207.0826924443245,0.9835691452026367,324.9212679862976,204.42440903186798,0.9993435144424438,327.7748975753784,204.97961354255676,0.9990509152412415,368.7981195449829,228.06940585374832,0.6457779407501221,375.21105909347534,231.95286011695862,0.9241291880607605,414.48644399642944,237.69206273555756,0.6474569439888,424.08056831359863,239.4689906835556,0.8867642879486084,248.29756689071655,257.52560210227966,0.9996191263198853,239.85917329788208,263.4539566040039,0.9996266961097717,259.6594934463501,326.86114943027496,0.5969321727752686,258.3373441696167,335.391588807106,0.9065064787864685,268.14517164230347,391.3970710039139,0.6780030727386475,267.64672470092773,400.8617024421692,0.897473156452179
9,13.173699961043894,120.8783916376522,121.4239780308529,164.06102218182588,161.19705391343865,114.50403301534992,106.82336701158711,179.3088713550478,174.3328907489693,359.82721185684204,220.1908267736435,0.9912086129188538,362.74124240875244,215.44275552034378,0.9901523590087891,363.6705832481384,216.17926263809204,0.9878537654876709,357.24359226226807,207.72738724946976,0.9869869947433472,357.61850786209106,207.44760543107986,0.9850226640701294,324.4898180961609,206.65988570451736,0.9992850422859192,328.5989031791687,206.4861759543419,0.999092161655426,367.6201491355896,228.10990583896637,0.6276007890701294,375.02972984313965,230.76042544841766,0.9295477271080017,413.49258279800415,236.61481726169586,0.6343045830726624,422.5759778022766,238.11912888288498,0.8949223160743713,248.55125093460083,255.3723932504654,0.9995903372764587,238.73470449447632,260.429207444191,0.9996132850646973,258.81832790374756,326.84163308143616,0.5610767602920532,257.42865085601807,334.56873965263367,0.9087530970573425,267.333701133728,391.6630916595459,0.6509235501289368,267.21901512145996,400.19692146778107,0.9015437364578247
