frame,inference_ms,angle,nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,nose_conf,left_eye_conf,right_eye_conf,left_ear_conf,right_ear_conf,left_shoulder_conf,right_shoulder_conf,left_elbow_conf,right_elbow_conf,left_wrist_conf,right_wrist_conf,left_hip_conf,right_hip_conf,left_knee_conf,right_knee_conf,left_ankle_conf,right_ankle_conf
0,18.378099950496107,,392.79663944244385,389.2860436439514,386.50507348775864,401.4195925593376,390.9140056371689,403.8293135166168,407.14012736082077,499.4273738861084,494.76513481140137,561.6750953197479,562.3456026315689,414.4940034151077,417.85240095853806,405.9369663000107,396.9394721984863,415.7518937587738,409.1340663433075,203.41045182943344,198.74078673124313,198.26629531383514,204.85941123962402,202.58112859725952,222.30763614177704,220.47056341171265,228.83551609516144,231.31912767887115,241.690652012825,240.71850633621216,290.19861912727356,290.0754157304764,351.17558431625366,350.1076204776764,389.4744384288788,389.26953172683716,0.48288702964782715,0.4517013132572174,0.4377734065055847,0.4953482747077942,0.5129290223121643,0.441793829202652,0.3763062655925751,0.27804329991340637,0.3166298270225525,0.3534250259399414,0.4779427945613861,0.5903484225273132,0.574310302734375,0.3418160378932953,0.33867692947387695,0.4335322082042694,0.33591437339782715
1,18.579600029625,84.55088706283469,390.6683795452118,396.90082716941833,385.63200092315674,408.4642548561096,385.50969636440277,421.08884185552597,388.49842369556427,511.61351108551025,359.05524706840515,560.5218462944031,336.9569275379181,425.42969024181366,401.5173559188843,415.62578892707825,387.2346188426018,424.3777104616165,399.8376352787018,201.3924344778061,197.28267377614975,196.48942184448242,204.74033975601196,202.46446990966797,221.774664580822,221.1560236811638,224.74410772323608,253.04071593284607,229.4362570643425,232.85844630002975,291.3452099561691,290.853994846344,351.43489956855774,347.00717759132385,389.01190543174744,388.0152397155762,0.3597794771194458,0.5284493565559387,0.35095736384391785,0.4393874406814575,0.5228084325790405,0.5027288198471069,0.3445708155632019,0.4525240361690521,0.2068829983472824,0.22100569307804108,0.2506834864616394,0.6159144043922424,0.5966524481773376,0.4058123230934143,0.41538354754447937,0.44878360629081726,0.31854483485221863
2,17.85609999205917,86.71315102241782,396.2842195034027,403.6906303167343,391.0410203933716,413.47844737768173,380.1000345945358,433.8840932250023,368.2706145644188,515.2790081501007,346.90762108564377,557.4685678482056,359.3644073009491,436.451659321785,389.0273574590683,432.1076797246933,381.01972740888596,432.0955830812454,390.52161407470703,198.37945544719696,195.42706775665283,194.02719366550446,203.25484156608582,201.8303720355034,219.5478800535202,218.57054686546326,221.32134544849396,231.55772304534912,219.2778429389,220.8867405653,291.67781388759613,290.50049006938934,356.1264909505844,347.9354405403137,388.57476711273193,387.99949622154236,0.4648993909358978,0.5181682705879211,0.4819622337818146,0.5253121852874756,0.519882082939148,0.5491800308227539,0.4253832995891571,0.3985486924648285,0.20751434564590454,0.2696819305419922,0.20047172904014587,0.6977972388267517,0.6546831727027893,0.5357054471969604,0.41364988684654236,0.4543687701225281,0.4513346552848816
3,17.48270000098273,87.39441825379303,391.02664893865585,394.9570678472519,389.70145094394684,406.0705111026764,386.66754853725433,420.0161746740341,389.5740615129471,509.8206921815872,363.99319326877594,582.6777586936951,369.37743067741394,425.8882921934128,403.63871109485626,422.77819699048996,392.9337168931961,427.0458767414093,401.7884598970413,201.1522707939148,197.53515779972076,195.91200959682465,204.6423048377037,201.64615505933762,220.47838991880417,218.61299699544907,217.29259437322617,228.85971945524216,209.11030542850494,215.46343863010406,292.87260031700134,292.16634476184845,358.9890019893646,353.90309941768646,389.06800293922424,388.7325338125229,0.3745521306991577,0.4789808392524719,0.44378089904785156,0.3967606723308563,0.4878441095352173,0.5087454915046692,0.317758172750473,0.4192606806755066,0.12437152117490768,0.36774006485939026,0.1471661478281021,0.5916005969047546,0.5883517265319824,0.4238946735858917,0.4430203139781952,0.3966135084629059,0.2912483215332031
4,17.88440003292635,93.98016023503705,389.8520702123642,399.7307994365692,389.6346517801285,409.90375542640686,378.97681307792664,441.0488120317459,363.4847595691681,509.89316499233246,302.5250630378723,577.6566346883774,266.1385736465454,438.4366863965988,390.2525440454483,437.3649023771286,387.25327229499817,435.1706461906433,391.3511440753937,203.20176005363464,198.39112734794617,199.6775095462799,204.70304697752,203.72458279132843,216.8856612443924,215.77922838926315,214.48070681095123,212.90276837348938,200.1894143819809,197.56751942634583,292.46441555023193,291.6731994152069,358.9309139251709,353.03518652915955,386.7133854627609,389.58280313014984,0.39167752861976624,0.493618369102478,0.4644518792629242,0.5377381443977356,0.5824734568595886,0.691069483757019,0.7375810742378235,0.5183549523353577,0.3431728780269623,0.6012685894966125,0.5558403730392456,0.726436197757721,0.7179200649261475,0.5598312616348267,0.5893025994300842,0.4046218693256378,0.43710246682167053
5,15.684399986639619,97.22903272472095,389.7255639433861,400.1175173521042,389.7754492163658,409.80631321668625,380.0193724632263,441.8348262310028,362.5158237814903,504.68887853622437,308.01851814985275,568.2305661439896,266.32069236040115,437.21819043159485,389.10705614089966,433.75346553325653,384.872749209404,434.37403404712677,394.706142783165,202.5612531900406,199.02169650793076,200.13895678520203,205.69748085737228,205.11420249938965,217.13274663686752,217.48949360847473,212.96902978420258,214.86790025234222,190.39659917354584,196.7644805908203,293.95498061180115,294.30534875392914,358.5004107952118,354.4303255081177,385.39765763282776,387.3621561527252,0.3543921113014221,0.5161821246147156,0.4419079124927521,0.5197425484657288,0.6391327977180481,0.7481994032859802,0.8072515726089478,0.6610972881317139,0.4018036127090454,0.6795060634613037,0.6745964288711548,0.7100101709365845,0.6154578924179077,0.5062140226364136,0.6128280162811279,0.4534757137298584,0.46330779790878296
6,16.16749999811873,103.2883973710567,388.62134379148483,399.50072234869003,385.96091187000275,410.5615505576134,379.1887719631195,446.10825991630554,361.3478018641472,514.2359135150909,301.47035348415375,556.7715656757355,258.2671914100647,438.8343769311905,390.8187579512596,435.9758223295212,381.08984512090683,437.41173672676086,390.8691517114639,201.9583557844162,198.34208726882935,198.44944161176682,205.79075050354004,205.48185229301453,217.98408663272858,218.6764384508133,208.3554772734642,211.52270936965942,183.58618080615997,191.21762841939926,297.2369260787964,297.19011783599854,355.95593643188477,350.27160012722015,383.9000954627991,386.35360741615295,0.3305083215236664,0.5334608554840088,0.5038893818855286,0.5098773837089539,0.6345726251602173,0.7725825905799866,0.745951771736145,0.7994674444198608,0.5338830947875977,0.5450460910797119,0.7415549159049988,0.667464554309845,0.6697671413421631,0.5017458200454712,0.5030723810195923,0.4925486743450165,0.5178893804550171
7,16.01900003151968,104.52200286304311,388.9428950548172,399.6224381327629,386.79282373189926,410.77599835395813,379.62047761678696,444.8552403450012,360.5056667327881,506.02421951293945,298.02904576063156,536.244257569313,252.4329160451889,434.485098361969,389.92467683553696,435.5832166671753,382.85742700099945,437.05750846862793,396.20136284828186,201.58147704601288,198.23622584342957,198.12222123146057,205.832160115242,205.30877941846848,218.65387880802155,219.10253822803497,211.0110005736351,207.22542917728424,183.42490047216415,185.6191725730896,298.4997835159302,300.80352115631104,359.09953820705414,355.9590730667114,383.7386794090271,386.3095135688782,0.3119196593761444,0.5303864479064941,0.5200720429420471,0.5012946128845215,0.630669891834259,0.762388288974762,0.7009478807449341,0.6749854683876038,0.6388764977455139,0.6254936456680298,0.8073327541351318,0.6131148934364319,0.7672281861305237,0.46485739946365356,0.5605430603027344,0.46173590421676636,0.4576495289802551
8,16.86820003669709,108.04697386041875,389.57834351062775,399.4349133968353,389.624963760376,410.0993089079857,379.6898459792137,443.3132929801941,359.1627787351608,502.5591734647751,304.6516904234886,519.3283863067627,261.6182560324669,432.8394998908043,387.63934791088104,434.20039904117584,379.9223584532738,434.56225460767746,394.77444064617157,201.90388691425323,198.87879866361618,200.31121534109116,205.98039627075195,206.13970112800598,218.2923514842987,218.55474305152893,207.30223149061203,208.75411641597748,174.33009207248688,183.73722183704376,297.44249629974365,298.2938212156296,360.05195927619934,357.3858196735382,384.67786026000977,387.03829860687256,0.3597300946712494,0.5131367444992065,0.43415769934654236,0.5058744549751282,0.6543509364128113,0.7309282422065735,0.716644287109375,0.49740171432495117,0.6096371412277222,0.3705112934112549,0.6442463994026184,0.6140843629837036,0.6170262694358826,0.4466683566570282,0.5361050367355347,0.42031213641166687,0.45628687739372253
9,18.495799973607063,117.13986878707686,387.02691519260406,395.5354586839676,384.71126437187195,410.4703440070152,378.695325255394,445.750231385231,357.5441300868988,504.18718898296356,305.14917826652527,501.1833140850067,270.09942150115967,432.0663852095604,385.88474583625793,431.40644907951355,373.8542592525482,433.5971190929413,388.83490842580795,200.2428276538849,196.46417796611786,196.63513964414597,206.04463696479797,206.08600133657455,219.89339244365692,219.02632403373718,201.99788039922714,214.45303505659103,166.7682385444641,185.96438336372375,296.61026263237,297.3590135574341,357.86672008037567,352.001424074173,382.0613639354706,384.6545466184616,0.26488447189331055,0.5486422181129456,0.5749323964118958,0.5331813097000122,0.6158726811408997,0.6976116895675659,0.6835398077964783,0.7114414572715759,0.5853527188301086,0.6590703725814819,0.7812307476997375,0.6017245054244995,0.629510223865509,0.3889263868331909,0.443951815366745,0.397905558347702,0.4531058073043823
